#,region,reg,vote_2016,intention,vote_2020,gender,hisp,race,income,edu,state,age
1,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,WI,45
2,South,1,"Did not vote, but was eligible",Yes,I am not sure/don't know,Female,0,White,>100K,1,VA,35
3,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,VA,45
4,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,0,TX,75
5,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,WA,45
6,Midwest,0,Was not eligible to vote,Not eligible,I would not vote,Female,0,White,<50K,0,OH,35
7,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,MA,18
8,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,1,TX,35
9,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,CA,65
10,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,NC,55
11,Midwest,1,Donald Trump,Yes,I am not sure/don't know,Female,0,White,>100K,1,OH,45
12,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,MD,65
13,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,FL,55
14,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,WV,55
15,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,0,OH,35
16,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,NY,75
17,South,1,Jill Stein,Yes,Joe Biden,Female,0,White,<50K,1,KY,18
18,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,FL,65
19,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,IN,65
20,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,NA,0,MI,55
21,West,1,Jill Stein,Yes,Joe Biden,Male,0,White,<50K,1,WA,35
22,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,IA,65
23,West,0,"Did not vote, but was eligible",Not sure,Joe Biden,Female,0,White,NA,1,CA,55
24,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,SC,55
25,Midwest,1,Gary Johnson,Yes,Joe Biden,Male,0,White,50K-100K,1,MN,65
26,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,GA,65
27,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,PA,25
28,Northeast,1,Donald Trump,Yes,Joe Biden,Female,0,White,50K-100K,1,NJ,65
29,South,1,Gary Johnson,Yes,Donald Trump,Female,0,White,<50K,1,VA,25
30,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,SC,75
31,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,TX,65
32,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,1,FL,18
33,Northeast,0,"Did not vote, but was eligible",No,I would not vote,Female,0,White,<50K,0,NY,45
34,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,AZ,55
35,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,IL,75
36,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,OH,65
37,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,OH,45
38,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,CA,65
39,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,FL,35
40,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,50K-100K,1,NC,65
41,South,1,Someone else:,Yes,Joe Biden,Male,0,White,>100K,1,TX,35
42,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,FL,35
43,Northeast,1,Hillary Clinton,Not sure,I am not sure/don't know,Female,0,White,50K-100K,0,NY,45
44,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,TX,35
45,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,NJ,35
46,South,0,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Female,0,White,<50K,0,AR,55
47,South,0,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Female,0,White,<50K,0,OK,55
48,West,0,"Did not vote, but was eligible",Not sure,Someone else,Female,0,White,50K-100K,0,NV,35
49,South,1,Was not eligible to vote,Yes,Joe Biden,Female,0,White,NA,1,FL,18
50,South,1,Was not eligible to vote,Yes,I am not sure/don't know,Female,0,White,<50K,1,FL,45
51,South,1,Jill Stein,Yes,Someone else,Female,0,API,50K-100K,1,TX,25
52,West,0,"Did not vote, but was eligible",Yes,Joe Biden,Female,0,White,<50K,0,CA,25
53,Northeast,1,Gary Johnson,Yes,Someone else,Female,0,White,50K-100K,1,NY,45
54,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,OR,65
55,Northeast,1,"Did not vote, but was eligible",Yes,Donald Trump,Female,0,White,<50K,1,PA,55
56,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,>100K,1,PA,75
57,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,NC,65
58,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,TX,35
59,West,1,Donald Trump,Yes,I am not sure/don't know,Female,0,White,<50K,0,CA,18
60,South,1,Donald Trump,Yes,Donald Trump,Male,0,API,50K-100K,1,VA,25
61,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,OH,65
62,West,1,Donald Trump,Yes,Joe Biden,Female,0,API,>100K,1,CA,25
63,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,IL,45
64,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,NC,75
65,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,0,MI,55
66,Northeast,1,Donald Trump,Yes,Someone else,Female,0,White,<50K,0,PA,65
67,West,1,Gary Johnson,Yes,Joe Biden,Female,0,White,>100K,1,CA,18
68,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,MI,35
69,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,0,CT,35
70,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,NC,55
71,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,DE,65
72,Midwest,1,Jill Stein,Yes,I am not sure/don't know,Female,0,White,<50K,1,WI,65
73,South,1,Donald Trump,Yes,I am not sure/don't know,Male,0,White,50K-100K,1,FL,35
74,Northeast,1,Hillary Clinton,Yes,Donald Trump,Female,0,White,<50K,1,CT,65
75,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,NC,35
76,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,OR,65
77,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,IL,55
78,Northeast,1,Hillary Clinton,No,Joe Biden,Female,1,White,<50K,0,NJ,18
79,South,1,Gary Johnson,Yes,I am not sure/don't know,Female,0,White,<50K,1,TX,65
80,West,1,Hillary Clinton,Yes,Donald Trump,Female,0,White,<50K,1,CA,45
81,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,NC,65
82,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,FL,65
83,Midwest,1,Someone else:,Yes,Joe Biden,Female,0,White,<50K,1,IA,45
84,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,GA,45
85,Midwest,1,Gary Johnson,Yes,Someone else,Male,0,White,50K-100K,1,IL,35
86,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,NY,55
87,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,WA,55
88,Midwest,1,Gary Johnson,Yes,Joe Biden,Female,0,White,50K-100K,1,MI,35
89,South,1,Gary Johnson,Yes,I am not sure/don't know,Female,0,White,50K-100K,0,SC,75
90,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,0,OH,45
91,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,IL,25
92,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,0,MA,65
93,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,API,50K-100K,1,MO,35
94,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,CO,45
95,Midwest,0,"Did not vote, but was eligible",Yes,Donald Trump,Female,0,White,<50K,1,IL,55
96,South,1,Hillary Clinton,Yes,Someone else,Female,0,White,<50K,0,NC,55
97,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,NC,55
98,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,NY,65
99,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,0,IN,55
100,West,1,"Did not vote, but was eligible",Yes,Joe Biden,Female,0,API,50K-100K,1,CA,25
101,South,1,Was not eligible to vote,Yes,Donald Trump,Female,0,White,>100K,1,FL,25
102,South,0,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Female,0,White,<50K,0,FL,18
103,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,PA,75
104,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,SC,35
105,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,IL,45
106,Northeast,1,Was not eligible to vote,Yes,I am not sure/don't know,Female,0,Black,NA,1,PA,18
107,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,OH,55
108,Northeast,1,"Did not vote, but was eligible",Yes,Donald Trump,Male,0,White,50K-100K,1,NY,45
109,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,IA,65
110,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,WI,55
111,Northeast,1,Donald Trump,Yes,Joe Biden,Female,0,White,50K-100K,1,CT,25
112,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,PA,55
113,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,NJ,65
114,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,DC,35
115,Northeast,1,Donald Trump,Yes,Joe Biden,Male,0,White,>100K,1,PA,65
116,South,1,"Did not vote, but was eligible",Not sure,Donald Trump,Male,0,White,<50K,1,GA,25
117,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,NY,35
118,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,FL,35
119,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,Black,<50K,0,FL,25
120,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,API,<50K,1,NY,45
121,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,GA,55
122,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,IL,55
123,West,1,Someone else:,Yes,Joe Biden,Male,0,White,50K-100K,1,NM,65
124,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,TN,55
125,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,API,<50K,1,CA,45
126,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,NC,25
127,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,VA,65
128,Midwest,1,Don't recall,Yes,Donald Trump,Male,0,White,<50K,1,MN,35
129,Midwest,1,Gary Johnson,Yes,Donald Trump,Male,0,White,<50K,1,WI,65
130,West,1,Donald Trump,Yes,I am not sure/don't know,Male,0,White,<50K,1,AZ,25
131,Northeast,1,Donald Trump,Yes,Joe Biden,Female,0,White,>100K,1,PA,35
132,South,1,Was not eligible to vote,Yes,Joe Biden,Female,0,White,<50K,1,OK,25
133,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,IL,55
134,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,FL,45
135,South,0,Hillary Clinton,Not eligible,Joe Biden,Female,0,Black,>100K,1,DC,65
136,South,1,"Did not vote, but was eligible",Yes,Donald Trump,Female,0,White,50K-100K,1,TX,45
137,Midwest,1,Gary Johnson,Not sure,Donald Trump,Female,0,White,50K-100K,1,IN,25
138,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,1,OH,45
139,Midwest,1,Was not eligible to vote,No,I would not vote,Male,0,Black,50K-100K,0,OH,18
140,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,AZ,65
141,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,NJ,45
142,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,CO,65
143,Northeast,1,Donald Trump,Not sure,I am not sure/don't know,Female,0,White,<50K,1,MA,65
144,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,API,<50K,1,PA,55
145,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,OH,45
146,South,0,Was not eligible to vote,Not eligible,I would not vote,Female,1,White,<50K,0,NC,18
147,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,API,<50K,1,HI,65
148,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,CT,55
149,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,FL,25
150,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,API,NA,1,IL,55
151,Midwest,0,"Did not vote, but was eligible",Not sure,Joe Biden,Male,0,White,50K-100K,1,WI,65
152,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,50K-100K,1,NJ,65
153,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,TX,45
154,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,TX,65
155,Midwest,1,Donald Trump,Yes,Someone else,Female,0,White,50K-100K,1,IN,75
156,West,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,MT,75
157,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,PA,65
158,South,0,"Did not vote, but was eligible",No,I would not vote,Female,0,White,<50K,1,TX,55
159,West,1,Hillary Clinton,NA,Joe Biden,Female,0,White,>100K,1,CA,35
160,West,1,Don't recall,Yes,I am not sure/don't know,Male,0,White,<50K,1,CA,65
161,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,TX,55
162,West,1,Donald Trump,Yes,Donald Trump,Male,0,API,<50K,1,CA,75
163,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,TN,65
164,South,1,Gary Johnson,Yes,Joe Biden,Female,0,White,<50K,1,NC,55
165,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,PA,18
166,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,1,Other,50K-100K,1,CT,35
167,South,1,"Did not vote, but was eligible",Yes,Donald Trump,Female,0,Black,>100K,1,TN,25
168,South,0,Was not eligible to vote,Not sure,Joe Biden,Female,0,White,<50K,0,TX,55
169,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,NJ,45
170,Northeast,1,Donald Trump,Not sure,I am not sure/don't know,Male,0,White,<50K,0,PA,25
171,Northeast,1,"Did not vote, but was eligible",Yes,I am not sure/don't know,Female,0,White,>100K,1,NJ,65
172,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,TN,55
173,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,IL,55
174,West,0,Was not eligible to vote,Not sure,Donald Trump,Female,0,API,50K-100K,1,OR,25
175,West,0,"Did not vote, but was eligible",Yes,Joe Biden,Male,1,Other,50K-100K,1,CA,25
176,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,0,CT,35
177,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,WI,55
178,Northeast,1,Hillary Clinton,Yes,Donald Trump,Female,0,White,NA,1,MA,75
179,South,1,"Did not vote, but was eligible",Yes,Joe Biden,Female,0,White,<50K,1,FL,35
180,West,1,"Did not vote, but was eligible",No,Joe Biden,Male,0,Black,>100K,0,NV,18
181,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,VT,65
182,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,NY,25
183,Northeast,1,Donald Trump,Yes,I am not sure/don't know,Female,0,White,50K-100K,1,NJ,45
184,Northeast,0,"Did not vote, but was eligible",Not sure,Donald Trump,Male,0,White,50K-100K,1,PA,25
185,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,KY,25
186,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,MD,55
187,Midwest,1,Donald Trump,Not sure,I am not sure/don't know,Female,0,White,<50K,1,IL,55
188,Midwest,1,"Did not vote, but was eligible",No,Joe Biden,Male,0,Black,<50K,0,IL,25
189,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,MO,65
190,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,FL,45
191,West,0,Donald Trump,Yes,Donald Trump,Female,1,White,<50K,1,CA,35
192,West,1,Donald Trump,Yes,Joe Biden,Female,0,White,50K-100K,1,MT,65
193,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,0,WI,35
194,South,1,Hillary Clinton,No,Joe Biden,Male,0,White,>100K,0,SC,45
195,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,IL,55
196,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,MO,55
197,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,TX,65
198,Midwest,0,"Did not vote, but was eligible",Not eligible,Someone else,Male,0,Black,>100K,1,MO,35
199,Midwest,1,"Did not vote, but was eligible",Not sure,Donald Trump,Female,0,White,NA,1,OH,55
200,South,1,"Did not vote, but was eligible",Yes,Joe Biden,Male,0,Black,<50K,1,TN,45
201,West,1,"Did not vote, but was eligible",Yes,Joe Biden,Female,0,White,50K-100K,1,UT,25
202,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,MN,35
203,Northeast,0,Was not eligible to vote,Not sure,Joe Biden,Female,0,White,<50K,1,NJ,65
204,West,1,"Did not vote, but was eligible",No,I would not vote,Male,0,Black,<50K,0,CO,25
205,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,SC,65
206,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,GA,65
207,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,CA,35
208,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,VA,45
209,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,0,WV,65
210,South,1,Was not eligible to vote,Yes,Joe Biden,Male,0,White,<50K,1,FL,18
211,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,MI,55
212,Midwest,0,"Did not vote, but was eligible",No,I would not vote,Female,0,Black,<50K,0,IL,45
213,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,NE,55
214,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,MI,45
215,West,1,Donald Trump,No,Donald Trump,Female,0,API,50K-100K,0,UT,18
216,South,1,Donald Trump,NA,Donald Trump,Female,0,White,>100K,1,FL,65
217,West,0,"Did not vote, but was eligible",No,I would not vote,Female,0,White,<50K,0,OR,25
218,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,0,NC,25
219,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,AZ,55
220,South,1,Hillary Clinton,Yes,Donald Trump,Female,0,White,<50K,0,TN,65
221,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,MA,55
222,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,IL,55
223,Midwest,1,Gary Johnson,Yes,Someone else,Male,0,White,50K-100K,1,IN,25
224,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,CA,65
225,South,0,Hillary Clinton,Not sure,I am not sure/don't know,Male,0,White,50K-100K,1,TX,25
226,South,1,Donald Trump,Yes,I am not sure/don't know,Female,0,Black,50K-100K,1,TX,25
227,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,0,NY,65
228,West,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,0,CO,25
229,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,API,>100K,1,HI,35
230,West,1,Donald Trump,Yes,I am not sure/don't know,Male,0,White,50K-100K,0,CA,55
231,West,1,"Did not vote, but was eligible",No,I would not vote,Male,0,White,<50K,1,CA,18
232,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,CA,55
233,West,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,CA,35
234,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,NY,45
235,West,1,Was not eligible to vote,No,I would not vote,Female,0,White,NA,0,WA,25
236,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,Black,<50K,1,DC,35
237,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,FL,65
238,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,TX,35
239,Midwest,0,"Did not vote, but was eligible",No,Joe Biden,Female,0,White,<50K,0,IN,25
240,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NY,35
241,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,1,GA,35
242,Northeast,1,"Did not vote, but was eligible",Yes,Joe Biden,Male,0,Black,50K-100K,0,NY,18
243,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,OH,25
244,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,CO,35
245,Midwest,0,"Did not vote, but was eligible",No,Donald Trump,Female,0,White,<50K,0,IL,25
246,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,NJ,25
247,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,0,IL,55
248,Midwest,1,Gary Johnson,Yes,Donald Trump,Male,0,Black,50K-100K,1,MN,25
249,South,1,Donald Trump,Yes,I am not sure/don't know,Male,0,White,>100K,1,GA,35
250,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,MO,45
251,Midwest,0,Was not eligible to vote,No,I would not vote,Male,0,White,<50K,0,KS,18
252,West,1,Donald Trump,No,Donald Trump,Male,0,API,<50K,1,WA,18
253,West,1,Hillary Clinton,Yes,Joe Biden,Female,1,Other,50K-100K,1,CA,35
254,South,0,Was not eligible to vote,Not eligible,Joe Biden,Female,1,Black,NA,0,TX,18
255,West,1,Was not eligible to vote,Yes,Joe Biden,Female,0,White,>100K,1,CA,18
256,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,PA,55
257,West,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,CA,35
258,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,AZ,65
259,Midwest,0,"Did not vote, but was eligible",Yes,Donald Trump,Male,0,White,<50K,0,OH,18
260,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,NA,1,CA,45
261,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,0,Black,<50K,0,MO,35
262,Midwest,1,Gary Johnson,Yes,Joe Biden,Male,0,White,50K-100K,1,WI,55
263,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NY,35
264,South,1,Hillary Clinton,Yes,I am not sure/don't know,Male,0,Black,50K-100K,0,SC,55
265,Midwest,0,Was not eligible to vote,Not eligible,Donald Trump,Female,0,White,50K-100K,1,WI,25
266,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,PA,35
267,Northeast,1,Don't recall,Not sure,Joe Biden,Male,0,White,<50K,0,NY,25
268,Midwest,0,"Did not vote, but was eligible",No,I would not vote,Female,0,White,<50K,0,OH,25
269,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,MN,35
270,West,0,Don't recall,No,I am not sure/don't know,Male,0,White,<50K,0,NM,18
271,Midwest,1,"Did not vote, but was eligible",Yes,I am not sure/don't know,Male,1,White,<50K,0,OH,35
272,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,NH,25
273,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,0,MI,35
274,West,1,Was not eligible to vote,Yes,Joe Biden,Female,0,White,<50K,0,CO,18
275,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,VA,35
276,South,0,Was not eligible to vote,No,I would not vote,Male,0,Black,<50K,0,LA,18
277,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,0,MI,45
278,Northeast,1,Was not eligible to vote,Yes,Joe Biden,Female,0,API,50K-100K,1,PA,18
279,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,CA,65
280,West,1,Donald Trump,Not sure,Donald Trump,Female,0,White,<50K,0,AZ,55
281,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,KY,35
282,Midwest,1,Gary Johnson,Yes,Joe Biden,Female,0,White,NA,1,MN,45
283,West,1,Someone else:,Yes,Joe Biden,Female,0,White,50K-100K,1,NV,35
284,Midwest,1,Was not eligible to vote,Yes,Joe Biden,Male,0,White,<50K,1,IL,18
285,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,NY,35
286,South,1,Hillary Clinton,Yes,Joe Biden,Female,1,Other,50K-100K,1,GA,18
287,South,1,Donald Trump,Yes,Joe Biden,Male,0,White,>100K,1,VA,45
288,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,IN,65
289,South,1,"Did not vote, but was eligible",Yes,Joe Biden,Male,0,Black,<50K,0,MD,25
290,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,CA,65
291,South,0,Donald Trump,No,Joe Biden,Male,0,White,<50K,1,TX,45
292,Northeast,0,Was not eligible to vote,Not sure,I am not sure/don't know,Male,1,White,NA,0,NY,18
293,South,1,Hillary Clinton,Not sure,Joe Biden,Female,0,API,NA,1,FL,55
294,Northeast,1,Was not eligible to vote,Yes,Joe Biden,Male,0,API,>100K,1,NJ,25
295,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,FL,35
296,South,1,Donald Trump,Yes,Donald Trump,Male,0,API,<50K,0,TX,35
297,Northeast,0,Was not eligible to vote,Not sure,Someone else,Female,0,White,>100K,1,PA,75
298,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,NA,1,CA,18
299,Midwest,1,Hillary Clinton,Yes,I am not sure/don't know,Female,0,White,<50K,0,OH,55
300,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,WI,35
301,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,Black,<50K,0,FL,18
302,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,MI,55
303,South,0,Was not eligible to vote,Yes,Donald Trump,Female,0,Other,<50K,1,VA,18
304,South,0,Donald Trump,Yes,Donald Trump,Male,0,White,<50K,0,VA,18
