#,region,reg,vote_2016,intention,vote_2020,gender,hisp,race,income,edu,state,age
1798,Midwest,1,"Did not vote, but was eligible",Not sure,Donald Trump,Female,0,White,<50K,0,KS,25
1799,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,1,MO,65
1800,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,API,<50K,1,MI,65
1801,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NY,35
1802,Midwest,0,Was not eligible to vote,Not sure,Joe Biden,Female,0,White,<50K,0,MI,18
1803,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,DE,35
1804,West,0,Hillary Clinton,Not sure,Joe Biden,Female,1,White,<50K,1,CA,35
1805,South,0,Don't recall,Not sure,Donald Trump,Female,1,Other,<50K,0,FL,65
1806,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,TX,35
1807,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NY,35
1808,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,IL,55
1809,Northeast,1,Donald Trump,Yes,Joe Biden,Female,0,White,>100K,1,NY,55
1810,Midwest,1,Donald Trump,Not sure,I am not sure/don't know,Female,0,White,<50K,1,IL,75
1811,Northeast,1,Was not eligible to vote,Yes,Joe Biden,Female,1,Other,NA,0,NY,18
1812,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,1,OH,25
1813,South,1,Don't recall,Yes,Joe Biden,Female,0,Other,>100K,1,AL,55
1814,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,MD,35
1815,Midwest,1,Was not eligible to vote,Yes,Joe Biden,Male,0,White,>100K,1,KS,35
1816,South,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,VA,35
1817,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,NJ,75
1818,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,CA,65
1819,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,NY,35
1820,Northeast,1,Hillary Clinton,Yes,Donald Trump,Female,0,White,<50K,1,NJ,75
1821,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,CT,35
1822,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,NC,45
1823,South,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,NA,1,TN,45
1824,Northeast,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,NY,35
1825,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,0,TN,25
1826,West,1,Donald Trump,Yes,Joe Biden,Male,0,White,>100K,1,CA,35
1827,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,FL,65
1828,Northeast,1,Someone else:,Yes,Joe Biden,Female,0,White,50K-100K,0,NJ,75
1829,West,1,"Did not vote, but was eligible",Yes,Donald Trump,Male,0,White,<50K,0,CA,45
1830,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,NH,25
1831,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,PA,65
1832,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,50K-100K,1,CA,35
1833,South,1,"Did not vote, but was eligible",Yes,I am not sure/don't know,Female,1,White,50K-100K,1,AR,55
1834,Northeast,1,Hillary Clinton,Yes,Donald Trump,Female,0,White,<50K,1,NY,65
1835,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,PA,65
1836,West,1,Was not eligible to vote,Yes,Joe Biden,Female,1,Black,<50K,0,CA,18
1837,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,>100K,1,PA,55
